label,name,type,length,precision,scale,custom
Opportunity Created For,Opportunity_Created_For__c,picklist,255,0,0,True
Opportunity Long ID,Opportunity_Long_ID__c,string,1300,0,0,True
Service Contract Expiring,Service_Contract_Expiring__c,reference,18,0,0,True
Service Contract,Service_Contract__c,reference,18,0,0,True
next_order,next_order__c,double,0,3,0,True
PushCount,PushCount__c,double,0,18,0,True
Project Number Generated Date,Project_Number_Generated_Date__c,date,0,0,0,True
Branch Name Override (Old),Branch_Name_Override_Old__c,picklist,255,0,0,True
Branch Name (Old),Branch_Name_Old__c,string,1300,0,0,True
Account Customer ID,Account_Customer_ID__c,string,1300,0,0,True
Registered Partners,Partners__c,multipicklist,4099,10,0,True
Partner Notes,Partner_Notes__c,textarea,255,0,0,True
Have you registered with any Partners?,Have_you_registered_with_any_Partners__c,boolean,0,0,0,True
Owner Manager Email,Owner_Manager_Email__c,email,80,0,0,True
GM Email,GM_Email__c,email,80,0,0,True
Branch,Branch__c,picklist,255,0,0,True
Region,Region__c,picklist,255,0,0,True
Owner Branch,Owner_Branch__c,string,1300,0,0,True
Owner Region,Owner_Region__c,string,1300,0,0,True
Account Name,Account_Name__c,string,1300,0,0,True
Owner Name,Owner_Name__c,string,1300,0,0,True
Parent Opportunity,Parent_Opportunity_del__c,reference,18,0,0,True
Child Opportunity,Child_Opportunity__c,reference,18,0,0,True
Amended Contract,SBQQ__AmendedContract__c,reference,18,0,0,True
Contracted,SBQQ__Contracted__c,boolean,0,0,0,True
Create Contracted Prices,SBQQ__CreateContractedPrices__c,boolean,0,0,0,True
Order Group ID,SBQQ__OrderGroupID__c,string,255,0,0,True
Ordered,SBQQ__Ordered__c,boolean,0,0,0,True
Primary Quote,SBQQ__PrimaryQuote__c,reference,18,0,0,True
Quote Pricebook Id,SBQQ__QuotePricebookId__c,string,18,0,0,True
Renewal,SBQQ__Renewal__c,boolean,0,0,0,True
Renewed Contract,SBQQ__RenewedContract__c,reference,18,0,0,True
Approval Status,sbaa__ApprovalStatus__c,picklist,255,0,0,True
Approval Step,sbaa__ApprovalStep__c,double,0,18,0,True
Approver,sbaa__Approver__c,reference,18,0,0,True
Step Approved,sbaa__StepApproved__c,boolean,0,0,0,True
Submitted Date,sbaa__SubmittedDate__c,date,0,0,0,True
Submitted User,sbaa__SubmittedUser__c,reference,18,0,0,True
Branch Address,Branch_Address__c,string,1300,0,0,True
Project Length,Project_Length__c,double,0,18,0,True
Choice of Law,Choice_of_Law__c,string,100,0,0,True
NDA Complete,NDA_Complete__c,boolean,0,0,0,True
NDA Recipient,NDA_Recipient__c,reference,18,0,0,True
NDA,NDA__c,picklist,255,0,0,True
Project Rooms,Project_Rooms__c,textarea,255,0,0,True
Purpose,Purpose__c,string,100,0,0,True
SL Parent Order Key,SL_Parent_Order_Key__c,string,150,0,0,True
Ship To Location,Ship_To_Location__c,reference,18,0,0,True
Source Opportunity,Source_Opportunity__c,reference,18,0,0,True
New Product Count,New_Product_Count__c,string,1300,0,0,True
General Manager,General_Manager__c,reference,18,0,0,True
Business Manager,Business_Manager__c,reference,18,0,0,True
Project Manager,Project_Manager__c,reference,18,0,0,True
Sales Engineer,Sales_Engineer__c,reference,18,0,0,True
Verify,Checklist_Complete_1__c,boolean,0,0,0,True
Affirm,Checklist_Complete_2__c,boolean,0,0,0,True
Legitimize,Checklist_Complete_3__c,boolean,0,0,0,True
Branch Street,Branch_Street__c,string,1300,0,0,True
Branch City-State-Zip,Branch_City_State_Zip__c,string,1300,0,0,True
Branch Phone,Branch_Phone__c,string,1300,0,0,True
Branch Contractor,Branch_Contractor__c,string,1300,0,0,True
CreatedUserRole__c,CreatedUserRole_c__c,string,1300,0,0,True
Ship-To State,Ship_To_State__c,string,1300,0,0,True
Submitted for Credit Review,Submitted_for_Credit_Review__c,boolean,0,0,0,True
Account Active?,Account_Active__c,boolean,0,0,0,True
Part and Product link,Part_and_Product_link__c,string,1300,0,0,True
Design Hours,Design_Hours__c,double,0,5,2,True
Design Engineer Status,Design_Engineer_STATUS__c,picklist,255,0,0,True
Design Engineer,Design_Engineer__c,reference,18,0,0,True
Need By Date,Need_By_Date__c,date,0,0,0,True
DE Note,DE_Note__c,textarea,255,0,0,True
IsValidBranch,IsValidBranch__c,boolean,0,0,0,True
Is this a Renewal?,Is_this_a_Renewal__c,picklist,255,0,0,True
Existing Contract #,Existing_Contract__c,string,50,0,0,True
SL Skip After,SL_Skip_After__c,boolean,0,0,0,True
SL Update,SL_Update__c,boolean,0,0,0,True
